iterations,reward
1,-11515.148570677042
2,-8902.819788320703
3,-8319.482899917459
4,-8884.800133773402
5,-6924.20603174257
6,-8233.153987846985
7,-5415.909129056593
8,-7913.311340502284
9,-5939.589869336627
10,-7168.027855310325
11,-4980.931348380134
12,-4911.544198793334
13,-4726.808231760784
14,-4739.698289018678
15,-4369.119148125708
16,-5467.982343305801
17,-4127.6248272506255
18,-4841.089587232517
19,-5229.87795168593
20,-5458.925224572305
21,-3779.9865926667862
22,-4666.152752662121
23,-4064.5068727594407
24,-4810.470160305274
25,-3488.055982911364
26,-4850.528040774649
27,-3726.748815504108
28,-4538.833081410601
29,-6578.078819495914
30,-5548.918241677801
31,-5164.324573153779
32,-5361.67155005287
33,-5283.685257647917
34,-4967.238668628662
35,-8130.914836225134
36,-5043.123780775699
37,-4624.975494698429
38,-4890.988213673002
39,-6235.175919030772
40,-5528.412825239561
41,-4989.245639713629
42,-4840.712191824763
43,-4372.070535611514
44,-3784.4150279221035
45,-5704.476477799345
46,-4714.524122043577
47,-5722.620747293303
48,-5764.54000052274
49,-4493.2437059281765
50,-4619.492733355204
51,-4306.326419213334
52,-5331.7012499095645
53,-5946.874129909509
54,-4866.532306208733
55,-5346.466215809
56,-4965.530661924395
57,-4334.776045548306
58,-6574.7066147571895
59,-6751.162327440847
60,-4569.083997639105
61,-4012.0985910565832
62,-4163.064514885401
63,-5387.87603347507
64,-6695.231665595331
65,-5547.615563602783
66,-5858.735005387906
67,-4989.726111398589
68,-5252.853911545643
69,-8444.599624848048
70,-5509.368252662476
71,-6177.740849507047
72,-5143.5748405042405
73,-6617.842436075655
74,-4091.905845718728
75,-4678.367791684916
76,-4902.318278609326
77,-4597.011145101914
78,-4743.994272130027
79,-4344.066936248811
80,-4750.332279297645
81,-7034.60088837067
82,-6502.265913923116
83,-5599.206060461098
84,-5482.340802110944
85,-4670.583023969449
86,-5544.912087697305
87,-6757.6674436941685
88,-4520.966868553259
89,-4185.802907715515
90,-4494.141933022442
91,-6106.069252139369
92,-6600.204751562363
93,-6711.851432671632
94,-4183.9503238403695
95,-4269.602784147366
96,-6422.948535482852
97,-4537.814789040182
98,-7566.782974036242
99,-5246.424150253781
100,-4522.537113496479
101,-5728.942419288748
102,-3708.817860986186
103,-3904.6512144708495
104,-3563.515412928269
105,-3987.7212630893996
106,-4443.169609879826
107,-4460.847188243935
108,-5339.020423655477
109,-6392.866991255784
110,-6178.1345671513
111,-3454.078048740871
112,-4913.111674376599
113,-4379.939194649762
114,-6242.54771511796
115,-5968.501137438545
116,-4148.936935127685
117,-8116.904920414531
118,-5391.8717938307345
119,-7104.414157569011
120,-4815.91268333791
121,-5248.6004872139565
122,-4694.057110309598
123,-4426.034158587347
124,-5686.445400714234
125,-4609.173323347239
126,-6081.09139719964
127,-4758.154918561192
128,-5157.966558184849
129,-3518.214418933223
130,-4280.028394783216
131,-6100.891530706363
132,-4821.562853943771
133,-3837.574081644437
134,-3008.718534148626
135,-4937.630534814802
136,-6460.005318317494
137,-4362.265125965589
138,-6437.929659066405
139,-4830.060330704646
140,-3969.450821969078
141,-7362.217942023613
142,-3817.5133936332063
143,-3367.5364742545325
144,-6785.120331892503
145,-5974.272133194619
146,-4262.632646887672
147,-5655.694012142849
148,-5376.677805189884
149,-6053.421573529352
150,-4631.973933536372
151,-3210.3247177789644
152,-4819.000826342646
153,-7080.784117406487
154,-3739.620403738354
155,-6252.76521399135
156,-4812.045256408985
157,-4102.02605790892
158,-8165.784102609985
159,-5003.554567508175
160,-5785.042604514835
161,-5437.673134306705
162,-6714.114658106109
163,-5844.178752985685
164,-9029.870419010185
165,-7354.6463784812
166,-3724.7864559824743
167,-5047.417950712851
168,-5586.415035625752
169,-4020.5383577516095
170,-6306.683089530013
171,-4068.251068098726
172,-4009.6412855963067
173,-6459.090269795121
174,-5949.896727181266
175,-4949.020299316673
176,-5751.301696557962
177,-3307.226597253834
178,-3909.4813490572774
179,-4867.648394033756
180,-4637.022773928147
181,-8757.032035663573
182,-4708.895723572732
183,-4029.2932762000814
184,-6250.938198690575
185,-6799.405079915623
186,-4215.104118246505
187,-3041.043618809309
188,-4954.1879055018135
189,-5101.5522887167845
190,-10013.461176992376
191,-7057.5059263867815
192,-4727.919258550502
193,-4532.94758687891
194,-4426.504977471125
195,-6682.787944167262
196,-3345.045631053326
197,-6592.106923807017
198,-4584.909082920625
199,-7352.675226892435
200,-3752.242402387519
201,-3753.4572591651836
202,-6377.661930204052
203,-5089.50619689218
204,-5573.13977747436
205,-5190.129373830738
206,-4496.6044009316765
207,-3618.8959960449124
208,-4203.606097511902
209,-4583.921373216666
210,-4885.6124489346685
211,-6130.126065837881
212,-6422.763549619237
213,-6511.744594133246
214,-5416.674838750146
215,-3647.83463833152
216,-7249.572818263781
217,-7080.0036111281315
218,-4419.988835572718
219,-5730.357081722957
220,-4187.682414780737
221,-3503.3057266811884
222,-6443.018153077864
223,-2930.4283337300317
224,-6678.75832312664
225,-5418.501048236596
226,-4055.289928062265
227,-4358.266463596205
228,-3097.2120790743493
229,-3324.2849050308996
230,-3586.2536222452172
231,-3022.8975275624016
232,-4064.30674940978
233,-3652.467133954347
234,-5668.712108187628
235,-3910.4498693990677
236,-4392.000957433792
237,-7073.62705962236
238,-6342.917636673765
239,-3632.3808333709694
240,-4791.109707471184
241,-6403.867994821627
242,-5586.549688107676
243,-3390.5747716743144
244,-7173.205609838356
245,-5283.470039103314
246,-5828.04487525112
247,-6244.732920231219
248,-4636.0981460484645
249,-5353.753341493373
250,-5836.738481488635
251,-5169.2406782692715
252,-4710.043669914356
253,-7589.117164254152
254,-6152.323360515745
255,-3040.3449380857664
256,-5746.057087076506
257,-7268.1127915053285
258,-6009.4774675036415
259,-5728.87132118321
260,-6036.163463876911
261,-5176.440205723522
262,-7057.034355870545
263,-4320.401498648408
264,-3594.76551184332
265,-7011.818252354364
266,-2967.323859900696
267,-4012.893305535977
268,-4632.073509943861
269,-6137.107357816784
270,-4738.519831508766
271,-7155.319943058298
272,-5696.563967919209
273,-5002.577366652726
274,-3848.5842188611746
275,-4008.6570810914977
276,-4029.0679066339453
277,-3373.9403201534647
278,-4097.097558819385
279,-3378.6785759139743
280,-4199.264652977025
281,-3640.217249671583
282,-7944.955837606967
283,-9145.066124888523
284,-4950.108878607779
285,-3866.145360913051
286,-8788.202723936665
287,-4823.994476347648
288,-7639.502185462604
289,-5788.224552542815
290,-7016.36273080831
291,-3360.9509739963446
292,-5286.759579435713
293,-6671.036537888954
294,-5476.482391442138
295,-3769.9148975517805
296,-4881.3604070752
297,-4591.894516975484
298,-6127.517145847501
299,-3790.0030872868115
300,-5459.2337066634345
